DateS,start_station_id
2021-02-01,0
2021-02-02,0
2021-02-03,60
2021-02-04,132
2021-02-05,146
2021-02-06,204
2021-02-07,42
2021-02-08,128
2021-02-09,147
2021-02-10,161
2021-02-11,148
2021-02-12,161
2021-02-13,150
2021-02-14,134
2021-02-15,159
2021-02-16,202
2021-02-17,146
2021-02-18,31
2021-02-19,68
2021-02-20,177
2021-02-21,154
2021-02-22,117
2021-02-23,206
2021-02-24,206
2021-02-25,223
2021-02-26,224
2021-02-27,187
2021-02-28,105
2021-03-01,176
2021-03-02,174
2021-03-03,252
2021-03-04,225
2021-03-05,150
2021-03-06,174
2021-03-07,161
2021-03-08,203
2021-03-09,265
2021-03-10,251
2021-03-11,268
2021-03-12,309
2021-03-13,230
2021-03-14,206
2021-03-15,200
2021-03-16,202
2021-03-17,228
2021-03-18,89
2021-03-19,222
2021-03-20,272
2021-03-21,307
2021-03-22,266
2021-03-23,320
2021-03-24,142
2021-03-25,278
2021-03-26,332
2021-03-27,340
2021-03-28,151
2021-03-29,261
2021-03-30,322
2021-03-31,220
2021-04-01,256
2021-04-02,222
2021-04-03,275
2021-04-04,250
2021-04-05,360
2021-04-06,372
2021-04-07,384
2021-04-08,403
2021-04-09,296
2021-04-10,351
2021-04-11,118
2021-04-12,163
2021-04-13,384
2021-04-14,358
2021-04-15,139
2021-04-16,226
2021-04-17,353
2021-04-18,347
2021-04-19,369
2021-04-20,424
2021-04-21,321
2021-04-22,321
2021-04-23,341
2021-04-24,410
2021-04-25,262
2021-04-26,386
2021-04-27,388
2021-04-28,392
2021-04-29,323
2021-04-30,376
2021-05-01,416
2021-05-02,397
2021-05-03,364
2021-05-04,441
2021-05-05,227
2021-05-06,430
2021-05-07,426
2021-05-08,265
2021-05-09,250
2021-05-10,367
2021-05-11,438
2021-05-12,414
2021-05-13,421
2021-05-14,430
2021-05-15,435
2021-05-16,389
2021-05-17,432
2021-05-18,516
2021-05-19,479
2021-05-20,543
2021-05-21,483
2021-05-22,448
2021-05-23,461
2021-05-24,521
2021-05-25,533
2021-05-26,441
2021-05-27,505
2021-05-28,267
2021-05-29,155
2021-05-30,77
2021-05-31,409
2021-06-01,439
2021-06-02,546
2021-06-03,330
2021-06-04,416
2021-06-05,515
2021-06-06,448
2021-06-07,470
2021-06-08,382
2021-06-09,502
2021-06-10,543
2021-06-11,472
2021-06-12,405
2021-06-13,428
2021-06-14,448
2021-06-15,537
2021-06-16,478
2021-06-17,514
2021-06-18,463
2021-06-19,402
2021-06-20,421
2021-06-21,482
2021-06-22,379
2021-06-23,584
2021-06-24,507
2021-06-25,476
2021-06-26,479
2021-06-27,520
2021-06-28,469
2021-06-29,491
2021-06-30,441
2021-07-01,286
2021-07-02,363
2021-07-03,264
2021-07-04,272
2021-07-05,377
2021-07-06,385
2021-07-07,454
2021-07-08,363
2021-07-09,411
